Date,Open,High,Low,Close,Adj Close,Volume
3/2/15,150.850006,154.149994,150.75,153.800003,140.244232,4622800
3/3/15,154.710007,156.910004,154.169998,155.570007,141.858185,8656600
3/4/15,154.619995,155.220001,154,154.350006,140.745712,4458500
3/5/15,154.860001,155.979996,154.309998,154.470001,140.855133,3327200
3/6/15,153.919998,155.029999,152.809998,153.119995,139.624115,3556200
3/9/15,153.300003,155.610001,153.149994,154.75,141.110443,3433000
3/10/15,153.300003,154.130005,152.419998,152.419998,138.985825,3825600
3/11/15,152.509995,152.690002,151.169998,151.169998,137.846024,3395400
3/12/15,151.279999,152.919998,151.279999,152.039993,138.639297,2965100
3/13/15,151.889999,152.389999,149.789993,151.570007,138.210754,3569600
3/16/15,152.389999,154.190002,152.270004,153.669998,140.125671,2742900
3/17/15,152.880005,155,152.729996,154.509995,140.891602,2923700
3/18/15,154.039993,155.990005,152.110001,155.729996,142.004089,4044700
3/19/15,154.910004,155.330002,153.660004,154.110001,140.526871,2539000
3/20/15,155.039993,155.490005,154.479996,154.5,140.882492,4464300
3/23/15,154.979996,154.979996,152.809998,152.809998,139.341431,3026900
3/24/15,151.960007,152.619995,151.350006,151.649994,138.283676,3319300
3/25/15,151.399994,152.039993,148.130005,148.229996,135.165131,3747900
3/26/15,147.830002,148.850006,145.960007,148.169998,135.110443,3627400
3/27/15,148.589996,149.309998,147.490005,148.850006,135.730453,2456700
3/30/15,150.080002,153.169998,149.979996,152.699997,139.241135,3738700
3/31/15,152.229996,152.25,149.940002,150.080002,136.852066,2975600
4/1/15,149.970001,150.020004,146.820007,148.639999,135.539001,4157900
4/2/15,149.139999,150.5,148.309998,149.279999,136.122559,2934200
4/6/15,148.149994,151.449997,148,150.929993,137.627136,3371500
4/7/15,151.270004,153.5,151.139999,152.320007,138.894653,4299500
4/8/15,152.190002,153.5,152.190002,153.360001,139.842957,2763400
4/9/15,152.619995,153.669998,151.630005,153.419998,139.89769,3966800
4/10/15,153.550003,154.960007,153.25,154.380005,140.773071,3183000
4/13/15,153.789993,155.5,152.960007,153.240005,139.733521,3034000
4/14/15,152.929993,153.539993,151.589996,153.210007,139.706177,2845800
4/15/15,154.369995,154.369995,152.210007,152.429993,138.994919,3687400
4/16/15,151.660004,152.529999,151.050003,151.970001,138.5755,2559900
4/17/15,150.880005,151.429993,149.440002,149.600006,136.414383,4671600
4/20/15,151.059998,153.550003,151.009995,152.669998,139.213791,3164000
4/21/15,153.509995,154.089996,152,153.330002,139.815613,3772900
4/22/15,152.360001,153,148.850006,151.190002,137.864258,8468900
4/23/15,150.830002,150.830002,149.729996,149.869995,136.660568,4080800
4/24/15,149.539993,149.860001,148.020004,148.399994,135.320145,4889200
4/27/15,148.589996,149,147.710007,147.800003,134.773041,4603500
4/28/15,147.899994,148.369995,146.009995,147.509995,134.508606,4352900
4/29/15,147.070007,147.460007,145.899994,146.149994,133.268448,4761700
4/30/15,145.25,145.940002,142.75,143.339996,130.706116,4925300
5/1/15,144.410004,145.070007,143.839996,144.669998,131.9189,3556800
5/4/15,143.850006,144.789993,143.179993,144.020004,131.326218,8977500
5/5/15,143.759995,144.699997,142.270004,142.910004,130.313995,3670400
5/6/15,143.009995,143.149994,140.429993,141.039993,129.433029,5313500
5/7/15,140.559998,142.179993,140.479996,141.490005,129.845978,4868700
5/8/15,143,145.940002,142.979996,145.460007,133.489273,7068000
5/11/15,145.550003,146.789993,145.130005,145.889999,133.883911,3969000
5/12/15,144.940002,146.080002,144.009995,145.429993,133.461746,3543900
5/13/15,145.410004,146.529999,145.100006,145.619995,133.636108,2679400
5/14/15,146.880005,148.25,146.649994,147.960007,135.783569,3495800
5/15/15,148.050003,148.300003,146.339996,146.880005,134.792419,3368900
5/18/15,146.880005,147.240005,146.300003,146.710007,134.636429,2149600
5/19/15,147.179993,147.770004,146.729996,147.050003,134.948441,2366400
5/20/15,147.139999,147.339996,146.100006,146.419998,134.37027,2104000
5/21/15,146.559998,147.710007,146.100006,147.350006,135.22374,2676400
5/22/15,147.259995,147.270004,144.800003,144.809998,132.892746,3878000
5/26/15,144.339996,144.429993,142.160004,142.800003,131.048187,3476800
5/27/15,143.419998,143.75,142.580002,143,131.23172,2837100
5/28/15,142.509995,145.289993,141.580002,142.330002,130.616867,3103200
5/29/15,142.259995,142.259995,140.320007,140.520004,128.955826,6178000
6/1/15,141.449997,142.050003,140.270004,141.25,129.625748,3897000
6/2/15,141.440002,144.460007,140.630005,143.25,131.461151,4977400
6/3/15,143.779999,145.059998,142.889999,143.809998,131.975067,3755800
6/4/15,143.220001,143.229996,140.949997,141.190002,129.570679,3239500
6/5/15,141.039993,141.369995,140.050003,140.729996,129.148544,3215600
6/8/15,140.240005,141.350006,140.199997,140.639999,129.065979,2728700
6/9/15,140.5,140.990005,139.899994,140.100006,128.570374,2647600
6/10/15,140.679993,142.600006,140.289993,141.619995,129.965271,2784400
6/11/15,142.009995,143.979996,141.75,142.960007,131.195038,2924500
6/12/15,142.619995,142.860001,141.089996,142.800003,131.048187,2395200
6/15/15,142.039993,142.589996,141.279999,142.289993,130.58017,2631400
6/16/15,141.419998,143.580002,141.419998,142.339996,130.626053,2450600
6/17/15,142.869995,144,141.899994,143.429993,131.626328,2775400
6/18/15,143.910004,146.529999,143.910004,145.380005,133.415878,3728900
6/19/15,145.190002,146.100006,144.949997,145.130005,133.186447,4837300
6/22/15,146.070007,146.210007,145.089996,145.699997,133.709549,2086100
6/23/15,146.330002,146.449997,143.800003,144.429993,132.544037,2864400
6/24/15,143.759995,144.800003,142.509995,143,131.23172,3989100
6/25/15,143.270004,143.759995,142.339996,142.449997,130.727005,2153800
6/26/15,143.029999,143.039993,141.889999,142.479996,130.754532,3153300
6/29/15,140.960007,141.320007,138.580002,138.729996,127.313141,3755500
6/30/15,140.059998,140.059998,138.440002,138.720001,127.303978,3434800
7/1/15,140.479996,141.139999,140.020004,140.729996,129.148544,3260900
7/2/15,141.289993,141.520004,139.880005,140.210007,128.671326,2116500
7/6/15,139.020004,140.729996,139,140.520004,128.955826,2093400
7/7/15,140.800003,143.440002,140.139999,143.149994,131.36937,3712000
7/8/15,142.5,143.149994,141.520004,141.919998,130.240616,3386500
7/9/15,143.889999,144.199997,142.729996,142.800003,131.048187,2486800
7/10/15,144.139999,145.190002,143.869995,144.479996,132.589935,2192100
7/13/15,145.960007,146.75,145.600006,146.619995,134.553802,2194200
7/14/15,146.759995,148.300003,146.449997,147.75,135.59082,3388800
7/15/15,147.75,147.75,146.479996,146.889999,134.801605,2653900
7/16/15,147.789993,148.800003,147.770004,148.490005,136.269928,2509600
7/17/15,147.25,147.440002,146.020004,146.839996,134.755692,3127100
7/20/15,147.110001,147.199997,145.910004,146.720001,134.645599,3016100
7/21/15,146.589996,146.589996,144.220001,145,133.067123,4452600
7/22/15,148.899994,149.179993,145.110001,146.470001,134.416168,6238400
7/23/15,147,147.949997,145.789993,146.110001,134.08577,4116000
7/24/15,145.809998,146.470001,143.979996,144.059998,132.204498,2455000
7/27/15,143.220001,143.350006,140.800003,141.029999,129.423859,3532100
7/28/15,141.610001,142.169998,139.509995,141.809998,130.139664,4138200
7/29/15,142.479996,144.610001,142.369995,144.139999,132.277908,3260400
7/30/15,143.350006,143.919998,142.210007,143.009995,131.240891,2644000
7/31/15,143.759995,144.919998,143.289993,144.169998,132.30545,3163500
8/3/15,144.440002,144.75,142.589996,143.690002,131.864944,3088000
8/4/15,143.550003,144.869995,143.039993,143.539993,131.727264,1973000
8/5/15,143.899994,145.600006,143.770004,144.949997,133.869949,2926100
8/6/15,144.699997,145.25,143.419998,143.820007,132.826309,2457000
8/7/15,143.220001,143.839996,141.699997,142.419998,131.533371,2953200
8/10/15,143.789993,146.770004,143.779999,145.860001,134.710358,3432600
8/11/15,144.139999,144.929993,143.279999,144.050003,133.038757,2811200
8/12/15,142.550003,143.009995,139.860001,142.429993,131.542572,4355800
8/13/15,142.029999,145.449997,141.529999,144.809998,133.740631,5129500
8/14/15,144.610001,145.470001,143.759995,145.089996,133.999237,2924000
8/17/15,144.600006,144.860001,142.929993,144.440002,133.398911,3746000
8/18/15,144.389999,145.210007,143.820007,144.600006,133.546692,1955500
8/19/15,143.419998,144.479996,142.320007,142.720001,131.81041,2967700
8/20/15,141.619995,141.899994,136.899994,137.020004,126.54612,6601400
8/21/15,134.880005,135.089996,131.460007,131.710007,121.642029,7957600
8/24/15,123.639999,135.5,115.139999,127.190002,117.467522,9425800
8/25/15,130,130.720001,125.43,125.489998,115.897476,7159100
8/26/15,129.339996,129.759995,125.230003,129.339996,119.453178,6428400
8/27/15,131.080002,132.360001,129.460007,131.869995,121.789795,5754600
8/28/15,131.429993,133.720001,130.860001,133.240005,123.055061,4508800
8/31/15,132.369995,132.699997,130.389999,130.679993,120.690758,4150800
9/1/15,128.160004,128.990005,126.940002,127.440002,117.698425,5772700
9/2/15,128.710007,130.669998,127.739998,130.630005,120.644569,4809300
9/3/15,132.309998,132.350006,130.479996,131.020004,121.004761,3379500
9/4/15,129.550003,130.490005,128.660004,129.759995,119.841057,3746700
9/8/15,132.270004,133.990005,132,133.820007,123.590736,3505800
9/9/15,135.589996,136.25,132.210007,132.649994,122.510147,4695100
9/10/15,132.339996,134.570007,132.270004,133.550003,123.341385,2932200
9/11/15,133.160004,134.860001,132.889999,134.669998,124.375732,2628200
9/14/15,134.720001,135.130005,133.729996,134.429993,124.154083,2389600
9/15/15,134.520004,137,134.520004,136.300003,125.881157,3737200
9/16/15,136.259995,137.429993,136.009995,137.199997,126.712364,2505000
9/17/15,137.360001,139.910004,136.940002,137.449997,126.943245,3405600
9/18/15,135.75,137.690002,134.399994,136.089996,125.687202,7240000
9/21/15,136.419998,137.449997,134.940002,136.020004,125.622566,2460900
9/22/15,134.490005,134.490005,132.520004,133.990005,123.747742,3465000
9/23/15,134.660004,135,131.610001,131.669998,121.605087,4907500
9/24/15,130.720001,130.770004,127.18,129.75,119.831841,5297800
9/25/15,131.570007,131.729996,129.279999,131.009995,120.995522,4149900
9/28/15,130.440002,130.479996,128.029999,128.130005,118.335678,4160000
9/29/15,128.110001,129.149994,127.470001,128.75,118.908279,2935100
9/30/15,130.270004,131.410004,129.619995,130.949997,120.940117,3025400
10/1/15,131.320007,131.789993,128.979996,130.610001,120.626091,2878400
10/2/15,129,132.589996,128.559998,132.559998,122.427025,3020500
10/5/15,132.279999,134.149994,131.350006,134.020004,123.775452,4587500
10/6/15,134.100006,135.539993,133.669998,134.630005,124.338814,3059600
10/7/15,135.690002,137.729996,135.259995,137.020004,126.54612,3263800
10/8/15,136.660004,139.350006,136.070007,139.039993,128.411713,2835700
10/9/15,139.039993,140.240005,138.360001,139.699997,129.021255,3065700
10/12/15,139.929993,141.070007,139.320007,140.679993,129.926346,1942200
10/13/15,139.440002,140.5,139.429993,140.289993,129.566132,2339700
10/14/15,139.75,140.889999,133.580002,134.220001,123.960159,8752300
10/15/15,135.160004,137.669998,135,137.389999,126.88784,6368300
10/16/15,137.429993,138.729996,136.520004,137.600006,127.081802,3173700
10/19/15,137.600006,138.610001,136.389999,138.419998,127.839111,4022000
10/20/15,137.940002,139.929993,137.580002,138.880005,128.263962,4192900
10/21/15,141.699997,142.149994,136.610001,141.190002,130.397354,8927200
10/22/15,142,147.360001,141.929993,146.309998,135.125992,6976300
10/23/15,147.369995,147.75,144.910004,146.699997,135.48616,4691200
10/26/15,146.210007,147.229996,145.550003,146.699997,135.48616,3143400
10/27/15,146.220001,148.990005,146.009995,148.460007,137.111649,3411300
10/28/15,147.990005,148.809998,145.139999,147.880005,136.575989,4408300
10/29/15,147.539993,147.869995,145.830002,147.179993,135.929474,3058900
10/30/15,147.399994,149.600006,147.089996,148.070007,136.751465,3938000
11/2/15,148.380005,149.470001,147.559998,148.399994,137.056213,2516700
11/3/15,148.029999,148.460007,147.139999,148.089996,136.769913,2470000
11/4/15,147.259995,148.759995,147.179993,148.190002,137.708511,2755100
11/5/15,148.190002,148.839996,146.490005,147.970001,137.504044,2545400
11/6/15,146.580002,148.169998,146.009995,147.940002,137.476151,2294100
11/9/15,146.899994,147.479996,145.179993,145.979996,135.654785,2980800
11/10/15,145.279999,146.139999,144.029999,145.149994,134.883514,2524100
11/11/15,145.199997,145.830002,144.520004,144.990005,134.734818,1579600
11/12/15,143,144.399994,141.589996,142.539993,132.458099,3796800
11/13/15,142.330002,143.889999,141.860001,142.589996,132.504562,3063800
11/16/15,142.580002,144.5,142.330002,144.419998,134.205124,2378300
11/17/15,145.289993,146.589996,144.639999,146.080002,135.747726,3038300
11/18/15,146.240005,148.389999,146.229996,148.279999,137.792114,3101100
11/19/15,148.789993,149.479996,148.259995,149.240005,138.684235,2492600
11/20/15,149.839996,150.589996,149.119995,149.399994,138.83287,3210200
11/23/15,149.389999,149.699997,147.710007,148.339996,137.8479,3183700
11/24/15,147.490005,149.589996,147.220001,148.649994,138.135971,2626600
11/25/15,149.039993,149.149994,147.380005,147.429993,137.002243,1852200
11/27/15,147.5,147.970001,146.679993,146.949997,136.556198,1282100
11/30/15,146.970001,147.259995,145.360001,145.449997,135.162292,3176700
12/1/15,146.539993,149.399994,146.470001,147.740005,137.290314,3444300
12/2/15,147.550003,148.029999,146.380005,146.960007,136.565491,2648800
