Date,Open,High,Low,Close,Adj Close,Volume
3/2/15,104.300003,104.300003,102.800003,103.830002,96.761086,7672800
3/3/15,103.839996,103.900002,102.150002,102.790001,95.791893,8348500
3/4/15,102.089996,104.080002,101.660004,103.059998,96.043495,8884500
3/5/15,103.43,104.449997,102.720001,103.419998,96.378998,8650700
3/6/15,103,103.75,101.709999,101.809998,94.878616,8658900
3/9/15,101.540001,101.980003,100.190002,101.370003,94.468567,9335900
3/10/15,99.870003,100.550003,98.699997,98.830002,92.101479,12728900
3/11/15,99.129997,100.139999,98.760002,98.970001,92.231956,9006400
3/12/15,99.629997,100.550003,98.879997,99.93,93.126595,8356800
3/13/15,99.589996,100.980003,98.879997,99.610001,92.828392,7810200
3/16/15,100,101.599998,99.769997,101.300003,94.403328,10524200
3/17/15,100.800003,101.75,99.610001,100.440002,93.601875,9906300
3/18/15,100.279999,100.589996,98.540001,100.279999,93.452751,12992200
3/19/15,100.290001,101.730003,100.040001,101.440002,94.533798,9231100
3/20/15,102.010002,102.709999,101.699997,102.290001,95.325928,17162200
3/23/15,99.779999,101.190002,99.25,100.260002,93.434143,17983700
3/24/15,100.489998,102.849998,100.07,101.410004,94.505844,11784800
3/25/15,101.989998,103.110001,99.779999,99.860001,93.061371,15629300
3/26/15,99.129997,101.82,98.589996,101.080002,94.198311,10928000
3/27/15,101,102.099998,100.900002,101,94.123756,8815900
3/30/15,101.120003,101.660004,99.57,100.690002,93.834869,9968200
3/31/15,100.010002,100.199997,98.07,98.129997,91.44915,13559900
4/1/15,98.160004,98.160004,95.379997,97.720001,91.067055,15134200
4/2/15,97.989998,99.5,97.010002,98.43,91.728729,10727300
4/6/15,97.919998,98.739998,97.190002,97.790001,91.132309,9697300
4/7/15,98.279999,99.739998,98.010002,98.690002,91.971031,8264700
4/8/15,98.699997,100.900002,98.559998,99.870003,93.070679,10967100
4/9/15,100.169998,101.18,99.919998,101.160004,94.272873,9178100
4/10/15,101.75,102.449997,101.059998,101.769997,94.841324,9257600
4/13/15,102.010002,103.82,102,102.279999,95.316597,10648400
4/14/15,102.339996,102.660004,101.470001,102.209999,95.251381,7224700
4/15/15,102.389999,104.360001,102.330002,104.029999,96.947464,12899700
4/16/15,103.949997,104.720001,103.110001,103.339996,96.304443,6670400
4/17/15,102.349998,102.809998,100.610001,101.379997,94.477867,9896500
4/20/15,102.279999,102.279999,100.410004,100.660004,93.8069,8752000
4/21/15,101.419998,105.709999,100.889999,105.199997,98.037804,19722700
4/22/15,105.239998,105.419998,103.830002,104.18,97.087265,8267300
4/23/15,104.639999,105.75,104.010002,105.209999,98.047112,8071800
4/24/15,104.639999,105.68,103.599998,103.699997,96.639931,9734400
4/27/15,104.18,104.529999,102.010002,102.940002,95.931664,10829200
4/28/15,103.120003,103.830002,101.139999,103.720001,96.658577,9793700
4/29/15,103.120003,103.900002,101.620003,102.32,95.353867,8932200
4/30/15,102.150002,102.699997,99.800003,100.510002,93.667107,14009500
5/1/15,103.199997,106.339996,102.5,105.010002,97.860748,22306500
5/4/15,105.650002,107.5,105.220001,105.660004,98.466492,13215600
5/5/15,105.300003,105.730003,102.730003,102.989998,95.978264,15046500
5/6/15,103.449997,103.830002,101.519997,102.269997,95.307297,10065200
5/7/15,102.169998,102.349998,99.660004,101.790001,94.859962,13878300
5/8/15,103,103.959999,102.879997,103.849998,96.779709,9651700
5/11/15,104.190002,105.360001,104,104.730003,97.599808,9956100
5/12/15,104.209999,106.150002,103.449997,105.559998,98.373283,9552600
5/13/15,105.970001,107.43,105.949997,106.389999,99.146797,10814500
5/14/15,107.269997,108.849998,106.660004,108.739998,101.336807,12761300
