,Authors,Link,Title,Strategy,Tickers,Opening Price,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51
0, Paulo Santos,/article/4038275-apple-unexpected-positive-appears,Apple: An Unexpected Positive Appears,Long,AAPL,120.0,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998
1, Mark Hibben,/article/4038269-apple-renewing-mac-focus-new-year,Apple: Renewing Mac Focus In The New Year,Long,AAPL,120.0,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998
2, Rinse Terpstra,/article/4037413-apple-user-base,Apple: It's All About The User Base,Long,AAPL,120.0,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998
3, Orange Peel Investments,/article/4037382-apple-expect-new-time-highs-2017,Apple: Why We Expect New All-Time Highs In 2017,Long,AAPL,120.0,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998
4, Michael Blair,/article/4037110-weak-demand-may-impact-apple-stock,Weak Demand May Impact Apple Stock,Short,AAPL,120.0,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998
50, J. M. Manness,/article/4040495-apple-repurchase-program-positive-effects,Apple Repurchase Program - Positive Effects,Long,AAPL,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0
51, Open Square Capital,/article/4039864-apple-buy-disney-creating-trillion-dollar-mousetrap,Apple Should Buy Disney: Creating A Trillion-Dollar Mousetrap,Long,AAPL,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0
52, Jay Somaney,/article/4039312-apple-pulled-deal-manufacture-india,Has Apple Pulled Off A Deal To Manufacture In India?,Long,AAPL,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0
53, GrassisGreenCap,/article/4038678-apple-ultimate-super-cycle-death-blow,Apple: The Ultimate Super-Cycle Death Blow,Long,AAPL,120.080002,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0
82, Individual Trader,/article/4042046-apples-earnings-blow-bears,Apple's Earnings Is A Blow To Bears,Long,AAPL,121.629997,130.28999299999998,133.28999299999998,136.699997,136.929993,139.339996,139.199997,141.46000700000005,140.880005,143.699997,143.169998,141.830002,143.639999,146.580002,153.009995,155.699997,153.990005,153.669998,153.929993,145.419998,146.339996,145.820007,143.5,145.059998,149.559998,152.089996,148.729996,158.809998,159.850006,157.21000700000005,161.470001,162.080002,161.5,158.669998,150.550003,153.809998,155.839996,159.880005,156.169998,166.720001,174.25,173.970001,169.979996,174.089996,169.800003,172.669998,176.419998,170.570007,116.150002,118.989998,120.0,120.080002
