,Authors,Date,Link,Tickers,Title,Strategy
0, Dirk Leach,2016-04-04 11:12:00,/article/3962952-lng-carrier-just-doubled-backlog-time-charter-duration,DLNG,This LNG Carrier Just Doubled Its Backlog And Time Charter Duration,Long
1, Eric Sprague,2016-04-04 11:07:00,/article/3962940-2015-intrinsic-value-brookfield-asset-management,BAM,2015 Intrinsic Value For Brookfield Asset Management,Long
2, Adelphi Venture Capital,2016-04-04 10:46:00,/article/3962944-krispy-kremes-international-expansion-will-success,KKD,Krispy Kreme's International Expansion Will Be A Success,Long
3, Alexander Maxwell,2016-04-04 10:44:00,/article/3962938-eagle-pharmaceuticals-next-move-surprise-fda-decision,EGRX,Eagle Pharmaceuticals' Next Move After Surprise FDA Decision,Long
4, Dan Stringer,2016-04-04 10:00:00,/article/3962770-surmodics-discounted-fast-tracked-transformation,SRDX,"SurModics: A Discounted, Fast-Tracked Transformation",Long
5, ONeil Trader,2016-04-04 09:53:00,/article/3962929-abiomed-room-run,ABMD,Abiomed: Room To Run,Long
6, Sean McEniry,2016-04-04 09:48:00,/article/3962928-square-enix-multiple-aaa-releases-boost-profits-triple-digits,SQNXF,Square Enix: Multiple AAA Releases Could Boost Profits By Triple Digits,Long
7, Orange Peel Investments,2016-04-04 09:41:00,/article/3962926-ford-1-key-thing-everyones-missing,F,Ford And The 1 Key Thing Everyone's Missing,Long
8, TipRanks,2016-04-04 09:37:00,/article/3962923-car-tesla,TSLA,"It's Not A Car, It's A Tesla",Long
9," Elazar Advisors, LLC",2016-04-04 09:33:00,/article/3962921-ebays-turnaround,EBAY,eBay's Turnaround,Long
10, Iron Value,2016-04-04 09:28:00,/article/3962919-shire-baxalta-match-made-heaven-part-1,SHPG,Shire And Baxalta - A Match Made In Heaven? (Part 1),Long
11, Kurt Christensen,2016-04-04 09:20:00,/article/3962917-opko-fda-decision-provides-opportunity,OPK,OPKO: The FDA Decision Provides An Opportunity,Long
12, Brian Nichols,2016-04-04 09:18:00,/article/3962916-restoration-hardware-actual-root-problem,RH,Restoration Hardware: The Actual Root Of Its Problem,Long
13, Agamemnus,2016-04-04 09:11:00,/article/3962913-beloranib-deep-analysis-complex-medical-issues-unlocks-value,ZFGN,Beloranib: Deep Analysis Of Complex Medical Issues Unlocks Value,Long
14, Investment Biker,2016-04-04 08:55:00,/article/3962918-aramark-organic-growth-margin-transformation-still-intact,ARMK,Aramark: Organic Growth And Margin Transformation Still Intact,Long
15, Samreen Agha,2016-04-04 08:53:00,/article/3962908-opko-buy-dip,OPK,OPKO: Buy The Dip,Long
16, Jack Banaszak,2016-04-04 08:48:00,/article/3962907-dave-and-busters-strong-growth-company,PLAY,Dave & Buster's: A Strong Growth Company,Long
18, Stone Fox Capital,2016-04-04 08:15:00,/article/3962906-vbi-vaccines-better-price-invest-alongside-strong-venture-funds-developing-biotech,VBIV,VBI Vaccines: Better Price To Invest Alongside Strong Venture Funds In A Developing Biotech,Long
20, Charles Sherwood,2016-04-04 08:09:00,/article/3962895-canarc-resource-corp-near-term-producer-looks-undervalued,CRCUF,Canarc Resource Corp.: Near-Term Producer Looks Undervalued,Long
21, Alberto Abaterusso,2016-04-04 07:20:00,/article/3962885-gold-fields-limited-ghana-cuts-reduce-royalty-rate,GFI,Gold Fields Limited: Ghana Cuts Reduce Royalty Rate,Long
22, Healthy Wealthy Wise Project,2016-04-04 06:24:00,/article/3962870-energy-focus-led-company-bright-vision,EFOI,Energy Focus: LED Company With A Bright Vision,Long
23, Daniel Jones,2016-04-04 05:57:00,/article/3962865-chicago-bridge-and-irons-bread-and-butter,CBI,Chicago Bridge & Iron's Bread & Butter,Long
24, Bill Zettler,2016-04-04 05:44:00,/article/3962862-sometimes-ugly-duckling-turns-beautiful-swan-buy-micron-11,MU,Sometimes An Ugly Duckling Turns Into A Beautiful Swan - Buy Micron Under $11.,Long
25, IP Banking Research,2016-04-04 05:19:00,/article/3962863-barclays-3-catalysts-double-stock-price,BCS,Barclays: The 3 Catalysts That Should Double The Stock Price,Long
26, Nick Mackintosh,2016-04-04 04:00:00,/article/3962849-disneys-planned-movie-theme-park-segments-will-boost-shareholder-returns,DIS,Disney's Planned Movie And Theme Park Segments Will Boost Shareholder Returns,Long
27, Sarfaraz A. Khan,2016-04-04 03:28:00,/article/3962843-randgold-resources-may-continue-rewarding-shareholders-even-golds-rally-fades,GOLD,"Randgold Resources May Continue Rewarding Shareholders, Even If Gold's Rally Fades",Long
28, Vuru,2016-04-04 03:00:00,/article/3962844-3m-expected-outperform-stronger-growth-internal-initiatives,MMM,3M Expected To Outperform With Stronger Growth From Its Internal Initiatives,Long
29," Elazar Advisors, LLC",2016-04-04 02:19:00,/article/3962831-perry-ellis-room-upside-valuation-earnings,PERY,Perry Ellis - Room For Upside On Valuation And Earnings,Long
30, Value Shopper,2016-04-03 22:24:00,/article/3962820-reason-bullish-alibaba,BABA,The Reason To Be Bullish On Alibaba,Long
31, MainStreetTrading.net,2016-04-03 21:29:00,/article/3962816-towne-bank-banking-growth-strategy,TOWN,Towne Bank: Banking On Growth And Strategy,Long
32, Seattle Contributor,2016-04-03 19:40:00,/article/3962808-blackberry-write-buy-stock,BB,"BlackBerry: Don't Write It Off, Buy The Stock",Long
33, Siddharth Dalal,2016-04-03 19:22:00,/article/3962809-tesla-model-3-existential-crisis-auto-industry,TSLA,Tesla Model 3: Existential Crisis For The Auto Industry,Long
36, Randy Carlson,2016-04-03 16:13:00,/article/3962789-tesla-model-3-love-first-sight,TSLA,Tesla Model 3: Love At First Sight,Long
37, Don Dion,2016-04-03 15:35:00,/article/3962786-amazon-alibaba,AMZN,Amazon > Alibaba,Long
38, Pierre Riffard,2016-04-03 13:50:00,/article/3962781-huntington-ingalls-industries,HII,What About Huntington Ingalls Industries?,Long
40, West Coast Growth Picks,2016-04-03 07:42:00,/article/3962758-tesla-model-3-china-problems-opportunities,TSLA,Tesla Model 3 In China: Problems And Opportunities,Long
41, West Coast Growth Picks,2016-04-03 05:11:00,/article/3962737-alaska-virgin-america-deal-big-win-american-airlines,AAL,An Alaska-Virgin America Deal Is A Big Win For American Airlines,Long
43, William Stamm,2016-04-03 03:37:00,/article/3962726-hormel-food-corporation-beef-total-return-growth-company,HRL,Hormel Food Corporation: Where's The Beef? A Total Return Growth Company,Long
44, Alex Lucken,2016-04-03 03:23:00,/article/3962724-hold-death-us-part-trina-solar,TSL,Hold Until Death Do Us Part: Trina Solar,Long
45, The Value Portfolio,2016-04-03 01:59:00,/article/3962715-total-s-higher-earning-oil-major-yielding-6-percent,TOT,Total S.A. - Higher Earning Oil Major Yielding 6%,Long
46, Bull's Run,2016-04-03 00:25:00,/article/3962711-kraft-heinz-initiatives-vs-valuation,KHC,Kraft Heinz - Initiatives Vs. Valuation,Long
47, Detroit Bear,2016-04-03 00:19:00,/article/3962710-buy-ford-stay-away-gm-2016-north-american-profit-growth,F GM,"Buy Ford, Stay Away From GM For 2016 North American Profit Growth",Long
48, Driscoll Consulting LLC,2016-04-02 16:03:00,/article/3962690-teslas-unattractive-model-x-presents-continuing-financial-risk,TSLA,Tesla's Unattractive Model X Presents Continuing Financial Risk,Long
49, Saidrasul Nasretdinov,2016-04-02 15:43:00,/article/3962686-hca-holdings-healthcare-stock-big-promise,HCA,HCA Holdings: A Healthcare Stock With A Big Promise,Long
50, Bruce Burnworth,2016-04-02 15:24:00,/article/3962684-intel-cloud-day-helps-us-predict-stocks-direction,INTC,Intel: Cloud Day Helps Us Predict Stock's Direction,Long
51, Chris Sewell,2016-04-02 14:13:00,/article/3962679-kids-love-armour,UAA,Kids Love Under Armour,Long
52, MainStreetTrading.net,2016-04-02 11:23:00,/article/3962676-grupo-aeroportuario-del-centro-norte-mexican-airport-ready-takeoff,OMAB,Grupo Aeroportuario del Centro Norte: Mexican Airport Ready For Takeoff!,Long
53, Individual Trader,2016-04-02 11:04:00,/article/3962674-chevron-break-100-shortly,CVX,Chevron To Break Through $100 Shortly,Long
56, Vince Martin,2016-04-02 08:19:00,/article/3962495-still-bullish-perion-cautious,PERI,Still Bullish On Perion - But Cautious,Long
58, Alexander J Poulos,2016-04-01 21:44:00,/article/3962645-regeneron-pharmaceuticals-top-pick-biotech-space,REGN,Regeneron Pharmaceuticals Is My Top Pick In The Biotech Space,Long
59, Ben Kramer-Miller,2016-04-01 19:58:00,/article/3962643-substantial-upside-santacruz-silver-mining,SZSMF,Substantial Upside In Santacruz Silver Mining,Long
61, JSG_DRIP,2016-04-01 17:58:00,/article/3962632-mid-con-energy-partners-best-upstream-e-and-p-company-never-heard,MCEP,Mid-Con Energy Partners - The Best Upstream E&P Company You've Never Heard Of,Long
63, Mingran Wang,2016-04-01 16:54:00,/article/3962624-tesla-model-3-reveal-good-bad,TSLA,Tesla Model 3 Reveal: The Good And The Bad,Long
65, Kenra Investors,2016-04-01 15:48:00,/article/3962605-gilead-price-reductions-big-deal,GILD,Gilead Price Reductions No Big Deal,Long
68, Arie Goren,2016-04-01 15:21:00,/article/3962606-best-large-cap-stocks-portfolio-consider-broadcom,AVGO,My Best Large Cap Stocks Portfolio: Consider Broadcom,Long
69, Cory Cramer,2016-04-01 14:49:00,/article/3962592-cyclical-strategy-says-buy-fmc,FMC,Cyclical Strategy Says Buy FMC,Long
70, Andre Jenanji,2016-04-01 14:34:00,/article/3962597-senvest-capital-time-buy-now,SVCTF,Senvest Capital - The Time To Buy Is Now,Long
72, Erik Bergseng,2016-04-01 14:10:00,/article/3962584-apple-grossly-mispriced,AAPL,Apple Is Grossly Mispriced,Long
73, Valuentum,2016-04-01 13:34:00,/article/3962583-fedex-well-positioned-capture-demand,FDX,FedEx Well-Positioned To Capture Demand,Long
74, Northern Capital,2016-04-01 13:30:00,/article/3962571-put-knight-therapeutics-watchlist,KHTRF,Put Knight Therapeutics On Your Watchlist,Long
75, Reuben Gregg Brewer,2016-04-01 13:23:00,/article/3962568-ibm-shows-watson-can,IBM,IBM Shows Me What Watson Can Do,Long
76, Long Term Growth Investor,2016-04-01 13:10:00,/article/3962561-amazon-com-third-party-sellers-drive-profitability,AMZN,Amazon.com: Third-Party Sellers Drive Profitability,Long
77, Adelphi Venture Capital,2016-04-01 12:19:00,/article/3962556-expedia-great-buy-hold-investment-growing-industry,EXPE,Expedia Is A Great Buy-And-Hold Investment In A Growing Industry,Long
78, Dana Blankenhorn,2016-04-01 11:19:00,/article/3962541-fitbits-rise-stirs-takeout-speculation,FIT,Fitbit's Rise Stirs Takeout Speculation,Long
