,Authors,Link,Tickers,Time,Title,Strategy,Week,Month
559, Bull's Run,/article/4134659-campbell-soup-getting-ready-big-run,CPB,2017-12-31 21:16:00,Campbell Soup Is Getting Ready For A Big Run,Long,52.0,12.0
561, Matthew McLaughlin,/article/4134637-now-good-time-get-oracle,ORCL,2017-12-31 14:21:00,Now Is A Good Time To Get In If You Don't Own Oracle,Long,52.0,12.0
562, Pinxter Analytics,/article/4134641-alaska-air-set-takeoff,ALK,2017-12-31 14:17:00,Alaska Air: Set For Takeoff,Long,52.0,12.0
563, HealthBlogger,/article/4134638-went-wrong-shire-2017-2018-will-different,SHPG,2017-12-31 13:56:00,What Went Wrong For Shire In 2017 And Why 2018 Will Be Different,Long,52.0,12.0
564, Josh Arnold,/article/4134627-targets-biggest-risk-2018,TGT,2017-12-31 13:15:00,Target's Biggest Risk In 2018,Long,52.0,12.0
565, Compounding Cash,/article/4134622-maturing-bonds-drain-billions-dollars-tesla,TSLA,2017-12-31 13:13:00,Maturing Bonds About To Drain Billions Of Dollars From Tesla?,Long,52.0,12.0
566," Michael McGill, CFA",/article/4134625-energous-state-union,WATT,2017-12-31 13:06:00,Energous: State Of The Union,Long,52.0,12.0
568, Mike Blank,/article/4134616-canopy-growth-dcf-analysis-pricing,TWMJF,2017-12-31 11:37:00,Canopy Growth: DCF Analysis And Pricing,Long,52.0,12.0
569, Dan Sparklingeyes,/article/4134614-intest-corporation-still-undervalued-despite-strong-2017,INTT,2017-12-31 11:30:00,inTEST Corporation: Still Undervalued Despite Strong 2017,Long,52.0,12.0
570, KMP Ideas,/article/4134613-sberbank-just-bank,SBRCY,2017-12-31 11:19:00,Sberbank: More Than Just A Bank,Long,52.0,12.0
571, Gold News,/article/4134610-goldcorp-operational-visibility-investor-confidence-traction,GG,2017-12-31 10:42:00,GoldCorp: Operational Visibility For Investor Confidence Traction,Long,52.0,12.0
572, Catalyst Ideas,/article/4134599-nvidia-bitcoin-meltdown,NVDA,2017-12-31 10:26:00,NVIDIA And A Bitcoin Meltdown,Long,52.0,12.0
574, The Value Portfolio,/article/4134598-first-oil-dividend-aristocrat-almost-half-decade,IMO,2017-12-31 09:52:00,The First Oil Dividend Aristocrat In Almost Half A Decade,Long,52.0,12.0
575, Long Player,/article/4134570-crescent-point-energy-crossing-border-better-return,CPG,2017-12-31 04:34:00,Crescent Point Energy: Crossing The Border For A Better Return,Long,52.0,12.0
576, Jonathan Faison,/article/4134567-avadel-pharmaceuticals-top-roty-pick-2018,AVDL,2017-12-31 04:17:00,Avadel Pharmaceuticals: A Top ROTY Pick For 2018,Long,52.0,12.0
577, KMP Ideas,/article/4134554-mechel-companys-capitalization-equal-annual-operating-cash-flow,MTL,2017-12-31 00:00:00,Mechel: The Company's Capitalization Is Equal To The Annual Operating Cash Flow,Long,52.0,12.0
578, KMP Ideas,/article/4134553-pilgrims-pride-great-taste,PPC,2017-12-30 23:40:00,Pilgrim's Pride: All About Great Taste,Long,52.0,12.0
