Authors,Date,Link,Tickers,Title,Strategy
 Dirk Leach," Apr. 4, 2016, 11:12 AM ",/article/3962952-lng-carrier-just-doubled-backlog-time-charter-duration,DLNG,This LNG Carrier Just Doubled Its Backlog And Time Charter Duration,Long
 Eric Sprague," Apr. 4, 2016, 11:07 AM ",/article/3962940-2015-intrinsic-value-brookfield-asset-management,BAM,2015 Intrinsic Value For Brookfield Asset Management,Long
 Adelphi Venture Capital," Apr. 4, 2016, 10:46 AM ",/article/3962944-krispy-kremes-international-expansion-will-success,KKD,Krispy Kreme's International Expansion Will Be A Success,Long
 Alexander Maxwell," Apr. 4, 2016, 10:44 AM ",/article/3962938-eagle-pharmaceuticals-next-move-surprise-fda-decision,EGRX,Eagle Pharmaceuticals' Next Move After Surprise FDA Decision,Long
 Dan Stringer," Apr. 4, 2016, 10:00 AM ",/article/3962770-surmodics-discounted-fast-tracked-transformation,SRDX,"SurModics: A Discounted, Fast-Tracked Transformation",Long
 ONeil Trader," Apr. 4, 2016, 9:53 AM ",/article/3962929-abiomed-room-run,ABMD,Abiomed: Room To Run,Long
 Sean McEniry," Apr. 4, 2016, 9:48 AM ",/article/3962928-square-enix-multiple-aaa-releases-boost-profits-triple-digits,SQNXF,Square Enix: Multiple AAA Releases Could Boost Profits By Triple Digits,Long
 Orange Peel Investments," Apr. 4, 2016, 9:41 AM ",/article/3962926-ford-1-key-thing-everyones-missing,F,Ford And The 1 Key Thing Everyone's Missing,Long
 TipRanks," Apr. 4, 2016, 9:37 AM ",/article/3962923-car-tesla,TSLA,"It's Not A Car, It's A Tesla",Long
" Elazar Advisors, LLC"," Apr. 4, 2016, 9:33 AM ",/article/3962921-ebays-turnaround,EBAY,eBay's Turnaround,Long
 Iron Value," Apr. 4, 2016, 9:28 AM ",/article/3962919-shire-baxalta-match-made-heaven-part-1,SHPG,Shire And Baxalta - A Match Made In Heaven? (Part 1),Long
 Kurt Christensen," Apr. 4, 2016, 9:20 AM ",/article/3962917-opko-fda-decision-provides-opportunity,OPK,OPKO: The FDA Decision Provides An Opportunity,Long
 Brian Nichols," Apr. 4, 2016, 9:18 AM ",/article/3962916-restoration-hardware-actual-root-problem,RH,Restoration Hardware: The Actual Root Of Its Problem,Long
 Agamemnus," Apr. 4, 2016, 9:11 AM ",/article/3962913-beloranib-deep-analysis-complex-medical-issues-unlocks-value,ZFGN,Beloranib: Deep Analysis Of Complex Medical Issues Unlocks Value,Long
 Investment Biker," Apr. 4, 2016, 8:55 AM ",/article/3962918-aramark-organic-growth-margin-transformation-still-intact,ARMK,Aramark: Organic Growth And Margin Transformation Still Intact,Long
 Samreen Agha," Apr. 4, 2016, 8:53 AM ",/article/3962908-opko-buy-dip,OPK,OPKO: Buy The Dip,Long
 Jack Banaszak," Apr. 4, 2016, 8:48 AM ",/article/3962907-dave-and-busters-strong-growth-company,PLAY,Dave & Buster's: A Strong Growth Company,Long
" Apr. 4, 2016, 8:20 AM ", JNJ,/article/3962899-johnson-and-johnsons-phase-3-cancellation-matters,Editors' Pick ,Johnson & Johnson's Phase 3 Cancellation: Why It Matters,Long
 Stone Fox Capital," Apr. 4, 2016, 8:15 AM ",/article/3962906-vbi-vaccines-better-price-invest-alongside-strong-venture-funds-developing-biotech,VBIV,VBI Vaccines: Better Price To Invest Alongside Strong Venture Funds In A Developing Biotech,Long
 Arthur Frentzel," Apr. 4, 2016, 8:13 AM ",/article/3962905-energy-focus-incorporated-focusing-led-market,"EFOI, OESX",Energy Focus Incorporated: Focusing In On The LED Market,Long
 Charles Sherwood," Apr. 4, 2016, 8:09 AM ",/article/3962895-canarc-resource-corp-near-term-producer-looks-undervalued,CRCUF,Canarc Resource Corp.: Near-Term Producer Looks Undervalued,Long
 Alberto Abaterusso," Apr. 4, 2016, 7:20 AM ",/article/3962885-gold-fields-limited-ghana-cuts-reduce-royalty-rate,GFI,Gold Fields Limited: Ghana Cuts Reduce Royalty Rate,Long
 Healthy Wealthy Wise Project," Apr. 4, 2016, 6:24 AM ",/article/3962870-energy-focus-led-company-bright-vision,EFOI,Energy Focus: LED Company With A Bright Vision,Long
 Daniel Jones," Apr. 4, 2016, 5:57 AM ",/article/3962865-chicago-bridge-and-irons-bread-and-butter,CBI,Chicago Bridge & Iron's Bread & Butter,Long
 Bill Zettler," Apr. 4, 2016, 5:44 AM ",/article/3962862-sometimes-ugly-duckling-turns-beautiful-swan-buy-micron-11,MU,Sometimes An Ugly Duckling Turns Into A Beautiful Swan - Buy Micron Under $11.,Long
 IP Banking Research," Apr. 4, 2016, 5:19 AM ",/article/3962863-barclays-3-catalysts-double-stock-price,BCS,Barclays: The 3 Catalysts That Should Double The Stock Price,Long
 Nick Mackintosh," Apr. 4, 2016, 4:00 AM ",/article/3962849-disneys-planned-movie-theme-park-segments-will-boost-shareholder-returns,DIS,Disney's Planned Movie And Theme Park Segments Will Boost Shareholder Returns,Long
 Sarfaraz A. Khan," Apr. 4, 2016, 3:28 AM ",/article/3962843-randgold-resources-may-continue-rewarding-shareholders-even-golds-rally-fades,GOLD,"Randgold Resources May Continue Rewarding Shareholders, Even If Gold's Rally Fades",Long
 Vuru," Apr. 4, 2016, 3:00 AM ",/article/3962844-3m-expected-outperform-stronger-growth-internal-initiatives,MMM,3M Expected To Outperform With Stronger Growth From Its Internal Initiatives,Long
" Elazar Advisors, LLC"," Apr. 4, 2016, 2:19 AM ",/article/3962831-perry-ellis-room-upside-valuation-earnings,PERY,Perry Ellis - Room For Upside On Valuation And Earnings,Long
 Value Shopper," Apr. 3, 2016, 10:24 PM ",/article/3962820-reason-bullish-alibaba,BABA,The Reason To Be Bullish On Alibaba,Long
