,Time,Link,Title,Authors,Tickers,Strategy
0," May 17, 2017, 1:42 PM ",/article/4074123-red-hat-future-open-source,Red Hat: The Future Of Open Source, Trevor Laudate,RHT,Long
1, CLNY,/article/4074114-colony-northstar-offers-decent-yield-now-merger-complete,Colony NorthStar Offers Decent Yield Now That Merger Is Complete," May 17, 2017, 1:40 PM ",Editors' Pick ,Long
2," May 17, 2017, 1:24 PM ",/article/4074119-eye-ophthalmology-analyzing-psividas-upcoming-clinical-trial,An Eye On Ophthalmology: Analyzing pSivida's Upcoming Clinical Trial, Life Sciences Millennial,EYPT,Long
3," May 17, 2017, 1:00 PM ",/article/4074102-home-sweet-home-depot-200-plus-within-2-years,Home Sweet Home Depot: $200+ Within 2 Years?, DoctoRx,HD,Long
4," May 17, 2017, 12:53 PM ",/article/4074099-raymond-james-wait-next-dip,Raymond James - Wait For The Next Dip," Michael Coppola, CFA",RJF,Long
5," May 17, 2017, 12:28 PM ",/article/4074101-keeping-bullish-eye-aerie-pharmaceuticals,Keeping A Bullish Eye On Aerie Pharmaceuticals, Strong Bio,AERI,Long
6," May 17, 2017, 12:06 PM ",/article/4074092-hecla-thing-focus,Hecla: The Only Thing To Focus On, Quad 7 Capital,HL,Long
7, SMIVY,/article/4073739-sm-investments-best-country-proxy-philippines-long-term-growth-potential,SM Investments: Best Country Proxy For Philippines' Long-Term Growth Potential," May 17, 2017, 12:06 PM ",Editors' Pick ,Long
8," May 17, 2017, 12:06 PM ",/article/4074083-buying-pullback-marijuana-play,Buying On The Pullback: My Marijuana Play, William Daniel,APHQF,Long
9," May 17, 2017, 11:57 AM ",/article/4074081-turnaround-underway-near-2-biodelivery-sciences,Turnaround Is Underway On Near-$2 BioDelivery Sciences, Bret Jensen,BDSI,Long
10, PYPL,/article/4074089-paypal-holdings-growth-boosting-customer-engagement,"PayPal Holdings, Growth Through Boosting Customer Engagement"," May 17, 2017, 11:55 AM ",Editors' Pick ,Long
11," May 17, 2017, 11:54 AM ",/article/4074078-general-electric-multi-year-low-buying-opportunity,General Electric: Multi-Year Low Buying Opportunity?, Activist Stocks,GE,Long
12," May 17, 2017, 11:47 AM ",/article/4074086-amd-jumps-word-intel-graphics-agreement,AMD Jumps On Word Of Intel Graphics Agreement, The Structure Of Price,AMD,Long
13," May 17, 2017, 11:25 AM ",/article/4074080-advice-skechers-management-can-unlock-shareholder-value,Advice For How Skechers Management Can Unlock Shareholder Value, Nicholas Durante,SKX,Long
14," May 17, 2017, 11:05 AM ",/article/4074071-spectra-energy-partners-q1-clearly-shows-enbridge-bought-general-partner,Spectra Energy Partners' Q1 Clearly Shows Why Enbridge Bought The General Partner, Michael Fitzsimmons,SEP,Long
15," May 17, 2017, 10:25 AM ",/article/4074055-big-takeover-making,Big Takeover In The Making?, Jonathan Weber,BA,Long
16," May 17, 2017, 9:50 AM ",/article/4074041-entry-level-homebuilder-buy,This Entry-Level Homebuilder Is A BUY," Joshua Hudson, CFA",LGIH,Long
17," May 17, 2017, 9:49 AM ",/article/4074040-citron-wrong-exact-sciences,Citron Is Very Wrong On Exact Sciences, Kirk Spano,EXAS,Long
18," May 17, 2017, 8:02 AM ",/article/4074024-cba-ab-initiatives-transforming-brew,CBA And AB/I Initiatives Are Transforming BREW, Mike Loughran,BREW,Long
19," May 17, 2017, 7:30 AM ",/article/4073901-citigroup-offers-best-big-bank-buying-opportunity-today,Citigroup Offers The Best Big Bank Buying Opportunity Today, David Alton Clark,C,Long
20," May 17, 2017, 7:23 AM ",/article/4074010-2-high-flying-stocks-second-week-may,2 High Flying Stocks Of The Second Week Of May, Johnathan Galt,"NVDA, AZN",Long
21," May 17, 2017, 7:09 AM ",/article/4074003-starbucks-reassessing-long-term-case,Starbucks - Reassessing The Long-Term Case, Kenra Investors,SBUX,Long
22," May 17, 2017, 6:31 AM ",/article/4073997-conocophillips-buy-50,Is ConocoPhillips A Buy Under $50?, Orthodox Investor,COP,Long
23, BQNBF,/article/4073453-scoring-5-percent-dividend-yield-national-bank-belgium,Scoring A 5% Dividend Yield With The National Bank Of Belgium," May 17, 2017, 6:15 AM ",Editors' Pick ,Long
24," May 17, 2017, 5:36 AM ",/article/4073992-valero-top-tier-refiner-strong-shareholder-commitment,Valero - Top Tier Refiner With A Strong Shareholder Commitment, The Value Portfolio,VLO,Long
25," May 17, 2017, 4:58 AM ",/article/4073978-snap-instgram-already-won,Snap: Has Instgram Already Won?, Activist Stocks,SNAP,Long
26," May 17, 2017, 4:52 AM ",/article/4073984-zoetis-close-52-week-high-yet-continues-robust-investment-opportunity-2017,"Zoetis Is Close To Its 52-Week High, Yet Continues To Be A Robust Investment Opportunity For 2017", Gaurao Bhade,ZTS,Long
27," May 17, 2017, 4:01 AM ",/article/4073960-goodyear-positive-surprises-ahead,Goodyear: Positive Surprises Ahead?, John Abbink,GT,Long
28," May 17, 2017, 3:37 AM ",/article/4073961-exxon-mobil-despite-size-company-still-significant-potential,"Exxon Mobil - Despite Its Size, This Company Still Has Significant Potential", The Value Portfolio,XOM,Long
29," May 17, 2017, 3:08 AM ",/article/4073958-cheniere-takes-lng-train-china,Cheniere Takes An LNG Train To China, Open Square Capital,LNG,Long
30," May 17, 2017, 2:40 AM ",/article/4073951-buy-united-states-oil-fund-play-brewing-oil-recovery,Buy The United States Oil Fund To Play The Brewing Oil Recovery, James Brumley,USO,Long
31," May 17, 2017, 2:27 AM ",/article/4073947-voxx-international-rare-small-cap-opportunity,VOXX International: A Rare Small-Cap Opportunity, Austin Lee,VOXX,Long
32," May 16, 2017, 11:28 PM ",/article/4073924-google-moat-warren-buffett-missed,Google: The Moat That Warren Buffett Missed, SPY Guy,"GOOG, GOOGL",Long
33," May 16, 2017, 8:56 PM ",/article/4073911-criteo-solid-growth-stock-still-expensive,Criteo Is A Solid Growth Stock That Is Still Not Expensive, Shareholders Unite,CRTO,Long
34," May 16, 2017, 7:42 PM ",/article/4073902-jd-com-expanding,JD.com Is Expanding, Value/Fundamental Investor,JD,Long
35," May 16, 2017, 6:21 PM ",/article/4073890-snapchat-many-speculators-many-shorts,"Snapchat: How Many Speculators, How Many Shorts?", Kayode Omotosho,SNAP,Long
36," May 16, 2017, 5:36 PM ",/article/4073868-hanesbrands-watch-dip,Hanesbrands: Watch The Dip, Samuel Smith,HBI,Long
37," May 16, 2017, 5:12 PM ",/article/4073869-frontier-communications-attractive-dividend-cut,Is Frontier Communications More Attractive After The Dividend Cut?, Orthodox Investor,FTR,Long
38," May 16, 2017, 5:05 PM ",/article/4073867-undisclosed-potential-drive-sandstorm-golds-value,The Undisclosed Potential Should Drive Sandstorm Gold's Value Up, Simple Digressions,SAND,Long
39," May 16, 2017, 4:19 PM ",/article/4073849-starbucks-long-term,Starbucks For The Long Term, No Guilt,SBUX,Long
40," May 16, 2017, 4:07 PM ",/article/4073832-ford-massive-buybacks,Ford Should Be Doing Massive Buybacks, Brett Mayo,F,Long
41," May 16, 2017, 4:05 PM ",/article/4073830-crh-construction-stock-hold,CRH - A Construction Stock To Hold?, Oisin Breen,CRH,Long
42," May 16, 2017, 3:25 PM ",/article/4073824-plug-power-total-disaster,Plug Power: Total Disaster, Quad 7 Capital,PLUG,Long
43," May 16, 2017, 3:12 PM ",/article/4073801-tjx-companies-fundamental-upside-levels,TJX Companies Has Fundamental Upside From These Levels, L&F Capital Management,TJX,Long
44," May 16, 2017, 3:10 PM ",/article/4073800-will-exxon-mobil-buy-bp,Will Exxon Mobil Buy BP?, Jonathan Weber,XOM,Long
45," May 16, 2017, 3:07 PM ",/article/4073817-vaalco-energy-hidden-gem-favorite-oil-stock-2017,VAALCO Energy: Why This 'Hidden Gem' Is My Favorite Oil Stock For 2017, Hawkinvest,EGY,Long
46, RKIGF,/article/4073378-reko-international-group-automotive-company-strong-balance-sheet-trading-low-multiples,Reko International Group: An Automotive Company With A Strong Balance Sheet Trading At Low Multiples," May 16, 2017, 2:57 PM ",Editors' Pick ,Long
47," May 16, 2017, 2:46 PM ",/article/4073804-rogers-long-run,Rogers: In It For The Long Run, RoaringInvestor,RCI,Long
48," May 16, 2017, 2:27 PM ",/article/4073796-pfizer-upside-without-m,Pfizer: There Is No Upside Without M&A, HealthBlogger,PFE,Long
49," May 16, 2017, 2:25 PM ",/article/4073795-shopify-10-year-cost-forecast,Shopify: 10-Year Cost Forecast, Save Money Retire Early,SHOP,Long
50," May 16, 2017, 2:21 PM ",/article/4073781-paccar-looking-towards-future,Paccar: Looking Towards The Future, WappCap,PCAR,Long
51," May 16, 2017, 1:57 PM ",/article/4073784-celgene-sales-pipeline-keeping-pace-expectations,Celgene Sales And Pipeline Keeping Pace With Expectations, Strong Bio,CELG,Long
52, MLP,/article/4073349-maui-land-and-pineapple-safe-undervalued-stock-even-150-percent-rise,"Maui Land & Pineapple - A Safe, Undervalued Stock Even After A 150% Rise"," May 16, 2017, 1:56 PM ",Editors' Pick ,Long
53," May 16, 2017, 1:25 PM ",/article/4073775-buying-himax-technologies,Why I'm Buying Himax Technologies, Giovanni DiMauro,HIMX,Long
54," May 16, 2017, 1:13 PM ",/article/4073755-china-wants-u-s-beef-food-comes-inc-going-benefit,"China Wants U.S. Beef, And Where Food Comes From, Inc. Is Going To Benefit", Galileo Russell,WFCF,Long
55," May 16, 2017, 1:10 PM ",/article/4073770-fogo-de-chao-worth-80-percent,Why Fogo De Chao Is Worth 80% More, Celeritas Investments,FOGO,Long
56," May 16, 2017, 1:08 PM ",/article/4073769-discrepancy-musks-projections-wall-street,Why The Discrepancy Between Musk's Projections And Wall Street?, Galileo Russell,TSLA,Long
57," May 16, 2017, 12:58 PM ",/article/4073766-cyberark-ignore-cyber-security-stock,CyberArk: Don't Ignore This Cyber Security Stock, Stone Fox Capital,CYBR,Long
58," May 16, 2017, 12:55 PM ",/article/4073764-buy-tjx-companies-discount-price,Buy TJX Companies At A Discount Price, Minutemen,TJX,Long
59," May 16, 2017, 12:54 PM ",/article/4073763-can-nvidia-climb-higher,Can Nvidia Climb Higher?, Individual Trader,NVDA,Long
60," May 16, 2017, 12:28 PM ",/article/4073734-deep-dive-minerva-neurosciences-pipeline,A Deep Dive Into Minerva Neurosciences' Pipeline, Biotech Beast,NERV,Long
61," AMZN, JCP, JWN",/article/4073746-great-tech-disconnect,The Great Tech Disconnect," May 16, 2017, 12:17 PM ",Editors' Pick ,Long
62," May 16, 2017, 12:09 PM ",/article/4073730-redhill-biopharma-10-biotech-stock-upcoming-catalysts,Redhill Biopharma: $10 Biotech Stock With Upcoming Catalysts, Bret Jensen,RDHL,Long
63, SEE,/article/4073302-sealed-air-long-term-fundamentals-remain-intact,Sealed Air: Long-Term Fundamentals Remain Intact," May 16, 2017, 12:03 PM ",Editors' Pick ,Long
64," May 16, 2017, 11:52 AM ",/article/4073728-new-relics-saas-model-fully-appreciated-market,New Relic's SaaS Model Is Not Fully Appreciated By The Market, Nick Clayton,NEWR,Long
65, APTTF,/article/4073293-asian-pay-television-trust-trading-attractive-12-percent-yield,Asian Pay Television Trust: Trading At An Attractive 12% Yield," May 16, 2017, 11:42 AM ",Editors' Pick ,Long
66," May 16, 2017, 11:15 AM ",/article/4073727-ford-will-axe-fall,Ford: Where Will The Axe Fall?, Alessandro Pasetti,F,Long
67," May 16, 2017, 10:56 AM ",/article/4073715-techtargets-first-half-makes-second-half-even-important,TechTarget's First Half Makes The Second Half Even More Important, Vince Martin,TTGT,Long
68," May 16, 2017, 10:51 AM ",/article/4073712-pfswebs-q1-supports-bull-case-8,PFSWeb's Q1 Supports The Bull Case Below $8, Vince Martin,PFSW,Long
69," May 16, 2017, 10:45 AM ",/article/4073710-one-retailer-going-much-higher,The One Retailer That Is Going Much Higher, Quad 7 Capital,HD,Long
70," May 16, 2017, 10:41 AM ",/article/4073391-glycomimetics-new-angle-tackling-chemo-resistance,GlycoMimetics: A New Angle On Tackling Chemo Resistance, StockMatusow,GLYC,Long
71," May 16, 2017, 10:33 AM ",/article/4073692-alcoa-many-reasons-buy,Alcoa: So Many Reasons To Buy, Brandon Dempster,AA,Long
72," May 16, 2017, 10:21 AM ",/article/4073700-micron-trouble-ahead,Micron: Trouble Ahead?, Kumquat Research,MU,Long
73," May 16, 2017, 10:17 AM ",/article/4073686-nevsun-resources-top-line-mining-play,Nevsun Resources: Top Line Mining Play, The Value Portfolio,NSU,Long
74," May 16, 2017, 9:48 AM ",/article/4073675-san-miguel-results-continue-impress,San Miguel Results Continue To Impress, Nick Cox,SMGBY,Long
75," May 16, 2017, 9:03 AM ",/article/4073669-lonestar-resources-upstream-paddle,Lonestar Resources: Up The Upstream With A Paddle, Long Player,LONE,Long
76, ACXM,/article/4073224-acxiom-solid-data-analytics-platform-data-driven-world,Acxiom: A Solid Data Analytics Platform In A Data-Driven World," May 16, 2017, 9:00 AM ",Editors' Pick ,Long
77," May 16, 2017, 8:55 AM ",/article/4073664-citizens-bancshares-short-term-odd-lot-opportunity-undervalued-bank,Citizens Bancshares: Short-Term Odd Lot Opportunity In A Very Undervalued Bank, Munger Fan,CZBS,Long
78," May 16, 2017, 8:27 AM ",/article/4073653-autonation-investors-overreacting-auto-cycle-peak-fears,AutoNation: Are Investors Overreacting To Auto-Cycle Peak Fears?, Praveen Chawla,AN,Long
79," May 16, 2017, 8:23 AM ",/article/4073652-tiffany-and-co-one-retailer-can-bank,Tiffany & Co.: One Retailer You Can Bank On, Alpha Investments,TIF,Long
80," May 16, 2017, 8:19 AM ",/article/4073650-canopy-growth-international-perspective,Canopy Growth: An International Perspective, RoaringInvestor,CGC,Long
81," May 16, 2017, 8:18 AM ",/article/4073643-urban-outfitters-currently-compelling,Urban Outfitters: Currently Compelling, L&F Capital Management,URBN,Long
82," May 16, 2017, 8:14 AM ",/article/4073648-caterpillar-fear-mongering-unwarranted,Caterpillar: Fear Mongering Is Unwarranted, Michael Boyd,CAT,Long
83," May 16, 2017, 7:57 AM ",/article/4073626-cara-therapeutics-tool-fight-opioid-epidemic,Cara Therapeutics: A Tool To Fight The Opioid Epidemic?, The Bull Case,CARA,Long
84," May 16, 2017, 7:33 AM ",/article/4073633-tg-therapeutics-significant-near-term-catalysts-2017,TG Therapeutics: Significant Near-Term Catalysts For 2017, EXPstocktrader,TGTX,Long
85, HBAYF,/article/4073195-hudsons-bay-company-deep-discounted-asset-play-retail-properties,Hudson's Bay Company - A Deep Discounted Asset Play On Retail Properties," May 16, 2017, 7:32 AM ",Editors' Pick ,Long
86," May 16, 2017, 7:30 AM ",/article/4073460-bank-america-major-positive-catalyst-looms,Bank Of America: Major Positive Catalyst Looms, David Alton Clark,BAC,Long
87," May 16, 2017, 6:23 AM ",/article/4073604-athersys-poised-lucrative-stem-cell-stroke-partnership-year,Athersys Poised For Lucrative Stem Cell Stroke Partnership This Year, Wall Street Titan,ATHX,Long
88," May 16, 2017, 5:45 AM ",/article/4073200-fmc-corporation-aiming-accelerate-growth-dupont-acquisition,FMC Corporation: Aiming To Accelerate Growth (After DuPont Acquisition), Willow Street Investments,FMC,Long
89," May 16, 2017, 4:41 AM ",/article/4073575-pandora-s-will-company-able-reach-guidance,Pandora A/S: Will The Company Be Able To Reach Its Guidance?, Raffi Balyozyan,PNDZF,Long
90," May 16, 2017, 4:41 AM ",/article/4073583-top-gold-stock-update-still-time-buy-undervalued-miner,Top Gold Stock Update: Still Time To Buy This Undervalued Miner, Gold Mining Bull,KL,Long
91," May 16, 2017, 4:00 AM ",/article/4073568-unitedhealth-group-beyond-52-week-high,UnitedHealth Group: Beyond The 52-Week High, Jeremy LaKosh,UNH,Long
92," May 15, 2017, 11:09 PM ",/article/4073528-cyber-security-revival-buy-secureworks-corp,"Cyber-Security Revival, Buy SecureWorks Corp.", LongInsight,SCWX,Long
93," May 15, 2017, 10:42 PM ",/article/4073517-momo-next-social-networking-app-giant,Momo: The Next Social Networking App Giant?, Ang Shen,MOMO,Long
94," May 15, 2017, 6:11 PM ",/article/4073461-microsoft-build-enterprise-remains-focus,Microsoft Build: Enterprise Remains The Focus, Edison Investment Research,MSFT,Long
95," May 15, 2017, 6:01 PM ",/article/4073261-aws-will-take-amazons-stock-price-past-1000,"AWS Will Take Amazon's Stock Price Past $1,000", Michael A. Ball,AMZN,Long
96," May 15, 2017, 5:27 PM ",/article/4073449-can-ac-modules-save-enphase-energy,Can AC Modules Save Enphase Energy?, TJ Roberts,ENPH,Long
97," May 15, 2017, 4:47 PM ",/article/4073430-capital-product-partners-diversity-strength,Capital Product Partners' Diversity Is Its Strength, Tom Luongo,CPLP,Long
98, AMZN,/article/4073423-amazon-web-services-190-billion-valuation,Amazon Web Services: $190 Billion Valuation," May 15, 2017, 4:36 PM ",Editors' Pick ,Long
99," May 15, 2017, 4:19 PM ",/article/4073393-facebook-fantastic-investment-stock-split-materialize,Facebook: A Fantastic Investment If The Stock Split Doesn't Materialize, Plexor,FB,Long
100," May 15, 2017, 4:15 PM ",/article/4073401-billionaire-167-million-canadian-natural-resources,Billionaire Own $167 Million Of Canadian Natural Resources - Should You?, Small-Cap Detective,CNQ,Long
101, LCUT,/article/4072672-lifetime-brands-additional-upside-remains-rejected-takeover-bid,Lifetime Brands: Additional Upside Remains After Rejected Takeover Bid," May 15, 2017, 4:00 PM ",Editors' Pick ,Long
102, IGT,/article/4073076-international-game-technology-compelling-buy-sizeable-upside,International Game Technology: Compelling Buy With Sizeable Upside," May 15, 2017, 4:00 PM ",Editors' Pick ,Long
103, ZNH,/article/4073083-china-southern-airlines-upside-international-expansion-growing-chinese-air-travel-demand,China Southern Airlines: Upside From International Expansion And Growing Chinese Air Travel Demand," May 15, 2017, 4:00 PM ",Editors' Pick ,Long
104," May 15, 2017, 3:59 PM ",/article/4073407-tesla-model-x-demand-increase-q4,Tesla Model X Demand Should Increase In Q4, Trent Eady,TSLA,Long
105," May 15, 2017, 3:51 PM ",/article/4073388-aig-breakup-catalyst,AIG: Breakup Catalyst?, Activist Stocks,AIG,Long
106," May 15, 2017, 3:39 PM ",/article/4073396-annaly-simply-disgusting,Annaly: Simply Disgusting, Quad 7 Capital,NLY,Long
107," May 15, 2017, 2:58 PM ",/article/4073370-revisiting-conatus-pharmaceuticals-due-recent-pipeline-expansion-talks,Revisiting Conatus Pharmaceuticals Due To Recent Pipeline Expansion Talks, Matthew Michniewicz,CNAT,Long
108," May 15, 2017, 2:45 PM ",/article/4073361-trinity-industries-wind-power-great-business,Trinity Industries: Wind Power Is A Great Business, Daniel Jones,TRN,Long
109," May 15, 2017, 2:31 PM ",/article/4073372-golden-entertainment-glitters-beneath-radar-now-spike-year,"Golden Entertainment Glitters Beneath The Radar Now, But Could Spike This Year", Howard Jay Klein,GDEN,Long
110, EGRGF,/article/4073348-value-activist-catalyst-eagle-energy-inc,Value With An Activist Catalyst At Eagle Energy Inc.," May 15, 2017, 2:25 PM ",Editors' Pick ,Long
111," May 15, 2017, 2:19 PM ",/article/4073324-shopify-10-year-revenue-forecast,Shopify: 10-Year Revenue Forecast, Save Money Retire Early,SHOP,Long
112," May 15, 2017, 2:18 PM ",/article/4073364-vista-shows-signs-life,Vista Shows Signs Of Life, Kumquat Research,VSTO,Long
