Authors,Link,Tickers,Time,Title,Strategy
 FIG Ideas,/article/4137554-wells-fargo-matters-2018,WFC," Mon, Jan. 15, 8:57 AM ",Wells Fargo: What Matters For 2018?,Long
 Nick Cox,/article/4137546-energy-storage-can-drive-future-tesla-growth-just-autos,TSLA," Mon, Jan. 15, 8:21 AM ","Energy Storage Can Drive Future Tesla Growth, Not Just Autos",Long
 Long Player,/article/4137548-baytex-energy-prize-winning-flea-bitten-managements-choice,BTE," Mon, Jan. 15, 8:19 AM ",Baytex Energy: Prize Winning Or Flea Bitten - Management's Choice,Long
" Mon, Jan. 15, 7:30 AM ",/article/4137062-pro-weekly-digest-focusing-stocks-suffering-unjustified-sell,Editors' Pick ," TCEHY, PDM, QTNA",PRO Weekly Digest: Focusing On Stocks Suffering From An Unjustified Sell-Off,Long
" Brian Gilmartin, CFA",/article/4137540-schwab-goldman-tale-two-eras-two-different-bull-markets,SCHW," Mon, Jan. 15, 6:58 AM ",Schwab And Goldman: A Tale Of Two Eras And Two Different Bull Markets,Long
 James Sands,/article/4137539-calavo-growers-recent-stock-price-momentum-poised-continue-2018,CVGW," Mon, Jan. 15, 6:57 AM ",Calavo Growers - Recent Stock Price Momentum Is Poised To Continue In 2018,Long
 Jonathan Faison,/article/4137534-crispr-therapeutics-buy-secondary,CRSP," Mon, Jan. 15, 6:04 AM ",CRISPR Therapeutics: Buy The Secondary,Long
 Gary Alexander,/article/4137533-leaf-group-something-compelling-small-cap-name,LFGR," Mon, Jan. 15, 5:50 AM ",Leaf Group: There's Something Compelling About This Small-Cap Name,Long
 Dan Sparklingeyes,/article/4137528-meet-group-undervalued-dating-app-market,MEET," Mon, Jan. 15, 5:23 AM ",The Meet Group Is The Most Undervalued Dating App In The Market,Long
 Grant Gigliotti,/article/4137527-skyworks-solutions-sets-massive-gains-via-5g-iot,SWKS," Mon, Jan. 15, 5:20 AM ",Skyworks Solutions Sets Up For Massive Gains Via 5G And IoT,Long
 The Value Investor,/article/4137524-sarepta-rosy-prospects-continue-buying-dips,SRPT," Mon, Jan. 15, 4:55 AM ","Sarepta: Rosy Prospects Continue, Buying On Dips",Long
 Giovanni DiMauro,/article/4137517-2-energy-stocks-set-rally-week,"SWN, CHK"," Mon, Jan. 15, 4:32 AM ",2 Energy Stocks Set To Rally This Week,Long
 ValueAnalyst,/article/4137516-facebook-buy-dip-keep-mind,FB," Mon, Jan. 15, 3:48 AM ","Facebook: Buy The Dip, But Keep This In Mind",Long
 Shareholders Unite,/article/4137508-ballard-power-systems-roll,BLDP," Mon, Jan. 15, 2:30 AM ",Ballard Power Systems Is On A Roll,Long
 Gary Alexander,/article/4137507-wayfair-poised-breakout,W," Mon, Jan. 15, 2:20 AM ",Wayfair: Poised For Breakout,Long
