Authors,Link,Tickers,Time,Title,Strategy
 ALT Perspective,/article/4138176-crocs-snap-back,CROX," Thu, Jan. 18, 7:30 AM ",The Crocs Snap Back,Short
 Bill Maurer,/article/4138181-tesla-model-3-cost-update,TSLA," Wed, Jan. 17, 5:09 PM ",Tesla Model 3 Cost To Own Update,Short
 Friedrich Chen,/article/4138178-blackhawk-sell-buyout-done,HAWK," Wed, Jan. 17, 4:58 PM ",Blackhawk: Sell Before The Buyout Is Done,Short
 Robert Leonard,/article/4138154-globalstar-can-cover-80-percent-globe-earn-profit,GSAT," Wed, Jan. 17, 4:01 PM ","Globalstar Can Cover 80% Of The Globe, But Can't Earn A Profit",Short
 Michael Wald,/article/4138157-scana-losing-value,SCG," Wed, Jan. 17, 3:41 PM ",SCANA Is Losing Its Value,Short
 Chief Fundamentals Officer,/article/4138065-teslas-demand-deposit-conundrum,TSLA," Wed, Jan. 17, 12:53 PM ",Tesla's Demand Deposit Conundrum,Short
 Kelly Stewart,/article/4138056-scalability-problem-logmein,LOGM," Wed, Jan. 17, 11:53 AM ",The Scalability Problem At LogMeIn,Short
" Wed, Jan. 17, 7:52 AM ",/article/4137693-supreme-court-creates-existential-risk-ion-geophysical,Editors' Pick , IO,The Supreme Court Creates An Existential Risk To ION Geophysical,Short
 North Channel Investments,/article/4137847-looking-ahead-restaurant-brands-international,QSR," Tue, Jan. 16, 4:05 PM ",Looking Ahead: Restaurant Brands International,Short
 Robert Leonard,/article/4137840-empire-resorts-fun-visit-fun,NYNY," Tue, Jan. 16, 2:48 PM ","Empire Resorts: Fun To Visit, Not Fun To Own",Short
 Donn Bailey,/article/4137829-fidelity-continues-dump-tesla-shares,TSLA," Tue, Jan. 16, 2:18 PM ",Fidelity Continues To Dump Tesla Shares,Short
 Bill Maurer,/article/4137768-tesla-capital-raise-coming,TSLA," Tue, Jan. 16, 12:10 PM ",Tesla Capital Raise Coming,Short
 Ruerd Heeg,/article/4137747-ossen-innovation-transforms-expensive-distressed-san-meditech,OSN," Tue, Jan. 16, 11:25 AM ",How Ossen Innovation Transforms Into Expensive And Distressed San Meditech,Short
" Tue, Jan. 16, 6:26 AM ",/article/4137676-problem-roku-mott-capital-managements-mike-kramers-idea-month,Editors' Pick , ROKU,The Problem With Roku - Mott Capital Management's Mike Kramer's Idea Of The Month,Short
 Anton Wahlman,/article/4137581-will-gm-beat-tesla-market-electric-pickup-truck,"GM, TSLA"," Mon, Jan. 15, 12:20 PM ",Will GM Beat Tesla To Market For An Electric Pickup Truck?,Short
 Healthcare Explorer,/article/4137451-apellis-addendum-company-tries-make-lemonade-lemons,APLS," Sun, Jan. 14, 9:10 AM ","Apellis - Addendum, How A Company Tries To Make Lemonade Out Of Lemons",Short
 Josh Arnold,/article/4137331-short-abercrombie-and-fitch,ANF," Fri, Jan. 12, 3:43 PM ",Short Abercrombie & Fitch,Short
" Fri, Jan. 12, 3:19 PM ",/article/4137325-zoes-kitchen-sets-expectations-key-2018-operating-metrics-store-traffic-trends-loom-larger,Editors' Pick , ZOES,"Zoe's Kitchen Sets Expectations For Key 2018 Operating Metrics, But Store Traffic Trends Loom Larger",Short
 Patrick Doyle,/article/4137317-nvidia-great-company-risky-stock,NVDA," Fri, Jan. 12, 2:29 PM ","Nvidia: Great Company, Risky Stock",Short
 Forge River Research,/article/4137228-chinanet-online-near-death-makes-desperate-cryptocurrency-shift,CNET," Fri, Jan. 12, 11:47 AM ",ChinaNet Online: Near Death Makes Desperate Cryptocurrency Shift,Short
 Josh Arnold,/article/4137059-best-buy-due-pullback,BBY," Thu, Jan. 11, 5:21 PM ",Best Buy Is Due For A Pullback,Short
 Old Time REITster,/article/4137024-wheeler-reit-preferred-offering-cfo-resignation-signal-absolute-desperation,WHLR," Thu, Jan. 11, 2:29 PM ",Wheeler REIT: Preferred Offering And CFO Resignation Signal Absolute Desperation,Short
" Thu, Jan. 11, 11:33 AM ",/article/4136917-ameri-holdings-another-cryptocurrency-short-opportunity,Editors' Pick , AMRH,AMERI Holdings: Another Cryptocurrency Short Opportunity,Short
" Thu, Jan. 11, 11:00 AM ",/article/4136906-matthews-international-55minus-65-percent-downside-risk,Editors' Pick , MATW,Why Matthews International Has 55-65% Downside Risk,Short
" Thu, Jan. 11, 8:33 AM ",/article/4136541-shorting-student-loan-bubble-sallie-mae,Editors' Pick , SLM,Shorting The Student Loan Bubble With Sallie Mae,Short
 Scientist of Fortune,/article/4136751-cleveland-biolabs-delay-supports-competitor-advantage-acute-radiation-syndrome,CBLI," Wed, Jan. 10, 6:14 PM ",Cleveland Biolabs' Delay Supports Competitor Advantage In Acute Radiation Syndrome,Short
 Kelly Stewart,/article/4136742-mannatech-questionable-science-poor-fundamentals-high-price,MTEX," Wed, Jan. 10, 4:47 PM ","Mannatech: Questionable Science, Poor Fundamentals, And A High Price",Short
 Bill Maurer,/article/4136405-tesla-optics-worsening,TSLA," Tue, Jan. 9, 5:40 PM ",Tesla: The Optics Are Worsening,Short
 Investor Gator,/article/4136367-teslas-change-course-stock-redemptions-signals-cash-flow-distress-hints-possibility-sec,TSLA," Tue, Jan. 9, 2:20 PM ","Tesla's Change Of Course On Stock Redemptions Signals Cash Flow Distress, Hints At Possibility Of SEC Issues",Short
 Terry Chrisomalis,/article/4136242-axovants-latest-data-nail-coffin,AXON," Tue, Jan. 9, 1:28 PM ",Axovant's Latest Data Is The Nail In The Coffin,Short
 Adam Stich,/article/4136228-will-tesla-run-cash,TSLA," Tue, Jan. 9, 12:33 PM ",When Will Tesla Run Out Of Cash?,Short
 Hindenburg Investment Research,/article/4136235-riot-blockchain-crypto-clown-car-continues-hurtling-toward-abyss,RIOT," Tue, Jan. 9, 12:20 PM ",Riot Blockchain: This Crypto Clown Car Continues Hurtling Toward The Abyss,Short
 Maks F. S.,/article/4136227-5-reasons-autozone-may-make-amazing-short,AZO," Tue, Jan. 9, 11:57 AM ",5 Reasons AutoZone May Make An Amazing Short,Short
 Healthcare Explorer,/article/4136186-apellis-pharmaceuticals-horse-lame,APLS," Tue, Jan. 9, 9:38 AM ",Apellis Pharmaceuticals: This Horse Is Lame,Short
 Bill Maurer,/article/4136050-gopro-cloudy-future,GPRO," Mon, Jan. 8, 4:50 PM ",GoPro: A Very Cloudy Future,Short
 Donn Bailey,/article/4136026-tesla-needs-options-now-model-3,TSLA," Mon, Jan. 8, 3:22 PM ",Tesla Needs More Options Now For Model 3,Short
 Bill Maurer,/article/4135955-tesla-ok-now,TSLA," Mon, Jan. 8, 12:13 PM ","Tesla: OK, Now What?",Short
 The Stock Stooge,/article/4135909-helios-matheson-analytics-goal-sell-stock-asap-might-make-mistakes,HMNY," Mon, Jan. 8, 9:51 AM ","Helios And Matheson Analytics: When Your Goal Is To Sell Stock ASAP, You Might Make Mistakes",Short
 ValueAnalyst,/article/4135901-mary-barra-proves-elon-musk-right,GM," Mon, Jan. 8, 9:29 AM ",Mary Barra Proves Elon Musk Right,Short
" Sat, Jan. 6, 8:34 AM ",/article/4135534-mueller-water-premium-valuation-justified,Editors' Pick , MWA,Mueller Water: Is The Premium Valuation Justified?,Short
 EASTERLY,/article/4135673-can-flawed-business-model-generate-investor-returns-empirical-analysis-moviepass,HMNY," Sat, Jan. 6, 5:19 AM ",Can A Flawed Business Model Generate Investor Returns? An Empirical Analysis Of MoviePass,Short
 John Engle,/article/4135645-tesla-faces-bumpy-ride-2018,TSLA," Fri, Jan. 5, 5:04 PM ",Tesla Faces A Bumpy Ride In 2018,Short
 EnerTuition,/article/4135593-tesla-delivery-numbers-good-bad-ugly,TSLA," Fri, Jan. 5, 11:52 AM ","Tesla Delivery Numbers: The Good, The Bad, And The Ugly",Short
" Edward Schneider, CFA",/article/4135560-pseudo-cryptocurrency-stock-shorts,"BTCS, CRCW, DNAD"," Fri, Jan. 5, 10:25 AM ",Pseudo Cryptocurrency Stock Shorts,Short
" Fri, Jan. 5, 10:18 AM ",/article/4135558-intel-security-risk-much-worse-management-commentary-indicates,Editors' Pick , INTC,Intel Security Risk Is Much Worse Than Management Commentary Indicates,Short
 Courage & Conviction Investing,/article/4135557-goldman-sachs-wrong-jack-box,JACK," Fri, Jan. 5, 10:17 AM ",Goldman Sachs Is Wrong About Jack In The Box,Short
 Bears of Wall Street,/article/4135432-square-still-startup-needs-prove-business-model,SQ," Thu, Jan. 4, 8:04 PM ",Square Is Still A Startup That Needs To Prove Its Business Model,Short
 Donn Bailey,/article/4135431-tesla-q4-deliveries-great-ugly-truly-horrible,TSLA," Thu, Jan. 4, 7:59 PM ","Tesla Q4 Deliveries: The Great, The Ugly, And The Truly Horrible",Short
 Josh Arnold,/article/4135417-american-eagle-take-money-run,AEO," Thu, Jan. 4, 5:12 PM ",American Eagle: Take Your Money And Run,Short
 Bill Maurer,/article/4135403-snap-last-chance-survive,SNAP," Thu, Jan. 4, 3:56 PM ",Snap: Last Chance To Survive?,Short
 Montana Skeptic,/article/4135298-osborne-effect-bites-hard-tesla,TSLA," Thu, Jan. 4, 11:10 AM ",The Osborne Effect Bites Down Hard On Tesla,Short
 Anton Wahlman,/article/4135148-december-sales-general-motors-chevy-bolt-ev-outsold-tesla-model-3-3-1,TSLA," Wed, Jan. 3, 5:54 PM ",December Sales Are In: General Motors' Chevy Bolt EV Outsold Tesla Model 3 By 3:1,Short
 Bill Maurer,/article/4135144-tesla-fails-model-3,TSLA," Wed, Jan. 3, 5:20 PM ",Tesla Fails Again With Model 3,Short
 Amit Ghate,/article/4135027-energous-succeeds-stock-market-game,WATT," Wed, Jan. 3, 8:42 AM ",Energous Succeeds At The 'Stock Market Game',Short
 Don Dion,/article/4134932-petiq-set-sink-lockup-expiration,PETQ," Tue, Jan. 2, 7:00 PM ",PetIQ Set To Sink With Lockup Expiration,Short
 J.G. Collins,/article/4134898-mcdonalds-signature-sandwiches-signal-weakness-still-lovin-it,MCD," Tue, Jan. 2, 3:55 PM ",McDonald's 'Signature Sandwiches' Signal Weakness: Why Are You Still 'Lovin' It'?,Short
 Bears of Wall Street,/article/4134875-guess-downside-19-percent-market-price,GES," Tue, Jan. 2, 3:06 PM ",Guess? Has A Downside of 19% From Its Market Price,Short
 Gainsboro Capital,/article/4134786-chipotle-mexican-grill-going-flames,CMG," Tue, Jan. 2, 9:15 AM ",Chipotle Mexican Grill: Going Down In Flames,Short
 Jeremy Blum,/article/4134716-taubman-centers-vulnerable-mall-reit,TCO," Tue, Jan. 2, 7:30 AM ",Taubman Centers Is The Most Vulnerable Mall REIT,Short
 James Coleman,/article/4134607-new-ge-power-faces-uncertain-2018,GE," Dec. 31, 2017, 10:28 AM ",The NEW GE Power Faces An Uncertain 2018,Short
" Dec. 31, 2017, 7:30 AM ",/article/4134394-sa-interview-microcap-investing-monocle-accounting-research,Editors' Pick , SLP,SA Interview: Microcap Investing With Monocle Accounting Research,Short
" Dec. 30, 2017, 11:40 AM ",/article/4134447-cvr-partners-rock-hard-place,Editors' Pick ," CVI, UAN",CVR Partners: Between A Rock And A Hard Place,Short
 Donn Bailey,/article/4134464-timing-will-teslas-biggest-challenge-2018,TSLA," Dec. 29, 2017, 1:04 PM ",Timing Will Be Tesla's Biggest Challenge In 2018,Short
 Bill Cunningham,/article/4134433-morgan-stanleys-mathematically-impossible-projection-tesla,TSLA," Dec. 29, 2017, 10:48 AM ",Morgan Stanley's Mathematically Impossible Projection For Tesla,Short
 Small Cap Master,/article/4134306-euphoric-high-bitcoin-digital-powers-single-press-release-650-percent-gain-inevitable-fall,DPW," Dec. 28, 2017, 3:38 PM ","The Euphoric High Of Bitcoin: Digital Power's Single Press Release, 650% Gain, And Inevitable Fall From Grace",Short
 Henrik Alex,/article/4134297-digirads-stock-leaps-company-sells-mdss-business-segment-philips-get-short,DRAD," Dec. 28, 2017, 1:58 PM ",Digirad's Stock Leaps After The Company Sells Its MDSS Business Segment To Philips - Get Short,Short
 Henrik Alex,/article/4134262-get-short-live-ventures-stock-leaps-uninspiring-fy2017-numbers,LIVE," Dec. 28, 2017, 10:44 AM ",Get Short Live Ventures After Stock Leaps On Uninspiring FY2017 Numbers,Short
" Dec. 28, 2017, 10:01 AM ",/article/4134252-dear-herbalife-board-directors-2017-comes-close-still-problems-nearly-every-aspect-herbalifes,Editors' Pick , HLF,"Dear Herbalife Board Of Directors: As 2017 Comes To A Close, There Are Still Problems With Nearly Every Aspect Of Herbalife's Business Under The FTC Order",Short
 Donn Bailey,/article/4134108-hydrogen-fuel-cells-may-teslas-biggest-future-sales-threat,TSLA," Dec. 27, 2017, 11:53 AM ",Hydrogen Fuel Cells May Be Tesla's Biggest Future Sales Threat,Short
" Dec. 27, 2017, 11:44 AM ",/article/4134114-teslas-correspondence-sec-shows-pattern-inaccurate-incomplete-misleading-disclosures,Editors' Pick , TSLA,"Tesla's Correspondence With The SEC Shows A Pattern Of Inaccurate, Incomplete And Misleading Disclosures",Short
 Amit Ghate,/article/4134110-vital-therapies-back-short-sale-well,VTL," Dec. 27, 2017, 11:25 AM ",Vital Therapies: Back To The (Short Sale) Well,Short
